timestamp,dataset,model,k,recall,ndcg
20230325_16:17:47 - ,yelp,emb_nn_kneighbors,50,0.0029287690179805896,0.037989514609603786,
20230325_21:12:25 - ,Amazon,random,50,0.010200000000000008,0.020391091932194304,
20230325_21:12:25 - ,Amazon,emb_dot,50,0.0002,0.020795299333562833,
20230325_21:12:25 - ,Amazon,emb_nn,50,0.0001,0.027751337643856875,
20230325_21:12:25 - ,Amazon,emb_dot_random_forest,50,0.019600000000000017,0.032543867674369724,
20230325_21:12:25 - ,Amazon,emb_dot_kneighbors,50,0.01300000000000001,0.03222209644007093,
20230325_21:12:25 - ,Amazon,emb_nn_random_forest,50,0.0001,0.02185879933980991,
20230325_21:12:25 - ,Amazon,emb_nn_kneighbors,50,0.0020000000000000005,0.027896336945544043,
20230325_21:23:03 - ,Movielens,random,50,0.01646666666666661,0.03741511880538552,
20230325_21:23:03 - ,Movielens,emb_dot,50,0.01563333333333331,0.043181088303816964,
20230325_21:23:03 - ,Movielens,emb_nn,50,0.01636666666666664,0.0507360442390847,
20230325_21:23:03 - ,Movielens,emb_dot_random_forest,50,0.02669999999999988,0.048703946991190024,
20230325_21:23:03 - ,Movielens,emb_dot_kneighbors,50,0.016333333333333276,0.04777750646581804,
20230325_21:23:03 - ,Movielens,emb_nn_random_forest,50,0.016033333333333316,0.04755013436458619,
20230325_21:23:03 - ,Movielens,emb_nn_kneighbors,50,0.017033333333333293,0.0507696280699201,
20230325_21:38:24 - ,yelp,random,50,0.0015076071922544793,0.025274074077215512,
20230325_21:38:24 - ,yelp,emb_dot,50,0.00020055325034578156,0.0271310428207298,
20230325_21:38:24 - ,yelp,emb_nn,50,0.0015318118948824183,0.04091779240166155,
20230325_21:38:24 - ,yelp,emb_dot_random_forest,50,0.0028976486860303823,0.037971125225919375,
20230325_21:38:24 - ,yelp,emb_dot_kneighbors,50,0.0009197786998616831,0.0321535459111123,
20230325_21:38:24 - ,yelp,emb_nn_random_forest,50,0.0030428769017980164,0.04059340810017024,
20230325_21:38:24 - ,yelp,emb_nn_kneighbors,50,0.0015491009681880884,0.0388966747214921,
20230326_23:28:00 - ,Amazon,emb_dot,50,0.0002,0.020795299333562833,
20230326_23:28:00 - ,Amazon,emb_nn,50,0.0001,0.027751337643856875,
